Size,Class,Allowance,MajorDiaMax,MajorDiaMin,PitchDiaMax,PitchDiaMin,PitchDiaTolerance,MinorDiaMax,MinorDiaMin
M33x2,4g6g,0.038,32.962,32.682,31.663,31.557,0.106,30.797,30.325 
M35x1.5,6g,0.032,34.968,34.732,33.994,33.844,0.150,33.344,32.920 
M35x1.5,6h,0.000,35.000,34.764,34.026,33.876,0.150,33.376,32.952 
M36x4,6g,0.060,35.940,35.465,33.342,33.118,0.224,31.610,30.654 
M36x4,6h,0.000,36.000,35.525,33.402,33.178,0.224,31.670,30.714 
M36x4,4g6g,0.060,35.940,35.465,33.342,33.202,0.140,31.610,30.738 
M36x2,6g,0.038,35.962,35.682,34.663,34.493,0.170,33.797,33.261 
M36x2,6h,0.000,36.000,35.720,34.701,34.531,0.170,33.835,33.299 
M36x2,4g6g,0.038,35.962,35.682,34.663,34.557,0.106,33.797,33.325 
M39x2,6g,0.038,38.962,38.682,37.663,37.493,0.170,36.797,36.261 
M39x2,6h,0.000,39.000,38.720,37.701,37.531,0.170,36.835,36.299 
M39x2,4g6g,0.038,38.962,38.682,37.663,37.557,0.106,36.797,36.325 
M40x1.5,6g,0.032,39.968,39.732,38.994,38.844,0.150,38.344,37.920
M40x1.5,6h,0.000,40.000,39.764,39.026,38.876,0.150,38.376,37.952 
M40x1.5,4g6g,0.032,39.968,39.732,38.994,38.899,0.095,38.344,37.975 
M42x4.5,6g,0.063,41.937,41.437,39.014,38.778,0.236,37.065,36.006 
M42x4.5,6h,0.000,42.000,41.500,39.077,38.841,0.236,37.128,36.069 
M42x4.5,4g6g,0.063,41.937,41.437,39.014,38.864,0.150,37.065,36.092 
M42x2,6g,0.038,41.962,41.682,40.663,40.493,0.170,39.797,39.261 
M42x2,6h,0.000,42.000,41.720,40.701,40.531,0.170,39.835,39.299 
M42x2,4g6g,0.038,41.962,41.682,40.663,40.557,0.106,39.797,39.325 
M45x1.5,6g,0.032,44.968,44.732,43.994,43.844,0.150,43.344,42.920 
M45x1.5,6h,0.000,45.000,44,764,44.026,43.876,0.150,43.376,42.952 
M45x1.5,4g6g,0.032,44.968,44.732,43.994,43.899,0.095,43.344,42.975 
M48x5,6g,0.071,47.929,47.399,44.681,44.431,0.250,42.516,41.351 
M48x5,6h,0.000,48.000,47.470,44.752,44.502,0.250,42.587,41.422 
M48x5,4g6g,0.071,47.929,47.399,44.681,44.521,0.160,42.516,41.441 
M48x2,6g,0.038,47.962,47.682,46.663,46.483,0.180,45.797,45.251 
M48x2,6h,0.000,48.000,47.720,46.701,46.521,0.180,45.835,45.289 
M48x2,4g6g,0.038,47.962,47.682,46.663,46.551,0.112,45.797,45.319 
M50x1.5,6g,0.032,49.968,49.732,48.994,48.834,0.160,48.344,47.910 
M50x1.5,6h,0.000,50.000,49.764,49.026,48.866,0.160,48.376,47.942 
M50x1.5,4g6g,0.032,49.968,49.732,48.994,48.894,0.100,48.344,47.970 
M55x1.5,6g,0.032,54.968,54.732,53.994,53.834,0.160,53.344,52.910 
M55x1.5,6h,0.000,55.000,54.764,54.026,53.866,0.160,53.376,52.942 
M55x1.5,4g6g,0.032,54.968,54.732,53.994,53.894,0.100,53.344,52.970 
M56x5.5,6g,0.075,55.925,55.365,52.353,52.088,0.265,49.971,48.700 
M56x5.5,6h,0.000,56.000,55.440,52.428,52.163,0.265,50.046,48.775 
M56x5.5,4g6g,0.075,55.925,55.365,52.353,52.183,0.170,49.971,48.795 
M56x2,6g,0.038,55.962,55.682,54.663,54.483,0.180,53.797,53.251 
M56x2,6h,0.000,56.000,55.720,54.701,54.521,0.180,53.835,53.289 
M56x2,4g6g,0.038,55.962,55.682,54.663,54.551,0.112,53.797,53.319 
M60x1.5,6g,0.032,59.968,59.732,58.994,58.834,0.160,58.344,57.910 
M60x1.5,6h,0.000,60.000,59.764,59.026,58.866,0.160,58.376,57.942 
M60x1.5,4g6g,0.032,59.968,59.732,58.994,58.894,0.100,58.344,57.970 
M64x6,6g,0.080,63.920,63.320,60.023,59.743,0.280,57.425,56.047 
M64x6,6h,0.000,64.000,63.400,60.103,59.823,0.280,57.505,56.127 
M64x6,4g6g,0.080,63.920,63.320,60.023,59.843,0.180,57.425,56.147 
M64x2,6g,0.038,63.962,63.682,62.663,62.483,0.180,61.797,61.251 
M64x2,6h,0.000,64.000,63.720,62.701,62.521,0.180,61.835,61.289 
M64x2,4g6g,0.038,63.962,63.682,62.663,62.551,0.112,61.797,61.319 
M65x1.5,6g,0.032,64.968,64.732,63.994,63.834,0.160,63.344,62.910 
M65x1.5,6h,0.000,65.000,64.764,64.026,63.866,0.160,63.376,62.942 
M65x1.5,4g6g,0.032,64.968,64.732,63.994,63.894,0.100,63.344,62.970 
M70x1.5,6g,0.032,69.968,69.732,68.994,68.834,0.160,68.344,67.910 
M70x1.5,6h,0.000,70.000,69.764,69.026,68.866,0.160,68.376,67.942 
M70x1.5,4g6g,0.032,69.968,69.732,68.994,68.894,0.100,68.344,67.970 
M72x6,6g,0.080,71.920,71.320,68.023,67.743,0.280,65.425,64.047 
M72x6,6h,0.000,72.000,71.400,68.103,67.823,0.280,65.505,64.127 
M72x6,4g6g,0.080,71.920,71.320,68.023,67.843,0.180,65.425,64.147 
M72x2,6g,0.038,71.962,71.682,70.663,70.483,0.180,69.797,69.251 
M72x2,6h,0.000,72.000,71.720,70.701,70.521,0.180,69.835,69.289 
M72x2,4g6g,0.038,71.962,71.682,70.663,70.551,0.112,69.797,69.319 
M75x1.5,6g,0.032,74.968,74.732,73.994,73.834,0.160,73.344,72.910 
M75x1.5,6h,0.000,75.000,74.764,74.026,73.866,0.160,73.376,72.942 
M75x1.5,4g6g,0.032,74.968,74.732,73.994,73.894,0.100,73.344,72.970 
M80x6,6g,0.080,79.920,79.320,76.023,75.743,0.280,73.425,72.047 
M80x6,6h,0.000,80.000,79.400,76.103,75.823,0.280,73.505,72.127 
M80x6,4g6g,0.080,79.920,79.320,76.023,75.843,0.180,73.425,72.147 
M80x2,6g,0.038,79.962,79.682,78.663,78.483,0.180,77.797,77.251 
M80x2,6h,0.000,80.000,79.720,78.701,78.521,0.180,77.835,77.289 
M80x2,4g6g,0.038,79.962,79.682,78.663,78.551,0.112,77.797,77.319 
M80x1.5,6g,0.032,79.968,79.732,78.994,78.834,0.160,78.344,77.910 
M80x1.5,6h,0.000,80.000,79.764,79.026,78.866,0.160,78.376,77.942 
M80x1.5,4g6g,0.032,79.968,79.732,78.994,78.894,0.100,78.344,77.970 
M85x2,6g,0.038,84.962,84.682,83.663,83.483,0.180,82.797,82.251 
M85x2,6h,0.000,85.000,84.720,83.701,83.521,0.180,82.835,82.289
M85x2,4g6g,0.038,84.962,84.682,83.663,83.551,0.112,82.797,82.319 
M90x6,6g,0.080,89.920,89.320,86.023,85.743,0.280,83.425,82.047 
M90x6,6h,0.000,90.000,89.400,86.103,85.823,0.280,83.505,82.127 
M90x6,4g6g,0.080,89.920,89.320,86.023,85.843,0.180,83.425,82.147 
M90x2,6g,0.038,89.962,89.682,88.663,88.483,0.180,87.797,87.251 
M90x2,6h,0.000,90.000,89.720,88.701,88.521,0.180,87.835,87.289 
M90x2,4g6g,0.038,89.962,89.682,88.663,88.551,0.112,87.797,87.319 
M95x2,6g,0.038,94.962,94.682,93.663,93.473,0.190,92.797,92.241 
M95x2,6h,0.000,95.000,94.720,93.701,93.511,0.190,92.835,92.279 
M95x2,4g6g,0.038,94.962,94.682,93.663,93.545,0.118,92.797,92.313 
M100x6,6g,0.080,99.920,99.320,96.023,95.723,0.300,93.425,92.027 
M100x6,6h,0.000,100.000,99.400,96.103,95.803,0.300,93.505,92.107 
M100x6,4g6g,0.080,99.920,99.320,96.023,95.833,0.190,93.425,92.137 
M100x2,6g,0.038,99.962,99.682,98.663,98.473,0.190,97.797,97.241 
M100x2,6h,0.000,100.000,99.720,98.701,98.511,0.190,97.835,97.279 
M100x2,4g6g,0.038,99.962,99.682,98.663,98.545,0.118,97.797,97.313 
M105x2,6g,0.038,104.962,104.682,103.663,103.473,0.190,102.797,102.241 
M105x2,6h,0.000,105.000,104.720,103.701,103.511,0.190,102.835,102.279 
M105x2,4g6g,0.038,104.962,104.682,103.663,103.545,0.118,102.797,102.313 
M110x2,6g,0.038,109.962,109.682,108.663,108.473,0.190,107.797,107.241 
M110x2,6h,0.000,110.000,109.720,108.701,108.511,0.190,107.835,107.279 
M110x2,4g6g,0.038,109.962,109.682,108.663,108.545,0.118,107.797,107.313 
M120x2,6g,0.038,119.962,119.682,118.663,118.473,0.190,117.797,117.241 
M120x2,6h,0.000,120.000,119.720,118.701,118.511,0.190,117.835,117.279 
M120x2,4g6g,0.038,119.962,119.682,118.663,118.545,0.118,117.797,117.313 
M130x2,6g,0.038,129.962,129.682,128.663,128.473,0.190,127.797,127.241 
M130x2,6h,0.000,130.000,129.720,128.701,128.511,0.190,127.835,127.279 
M130x2,4g6g,0.038,129.962,129.682,128.663,128.545,0.118,127.797,127.313 
M140x2,6g,0.038,139.962,139.682,138.663,138.473,0.190,137.797,137.241 
M140x2,6h,0.000,140.000,139.720,138.701,138.511,0.190,137.835,137.279 
M140x2,4g6g,0.038,139.962,139.682,138.663,138.545,0.118,137.797,137.313 
M150x2,6g,0.038,149.962,149.682,148.663,148.473,0.190,147.797,147.241 
M150x2,6h,0.000,150.000,149.720,148.701,148.511,0.190,147.835,147.279 
M150x2,4g6g,0.038,149.962,149.682,148.663,148.545,0.118,147.797,147.313 
M160x3,6g,0.048,159.952,159.577,158.003,157.779,0.224,156.704,155.931 
M160x3,6h,0.000,160.000,159.625,158.051,157.827,0.224,156.752,155.979 
M160x3,4g6g,0.048,159.952,159.577,158.003,157.863,0.140,156.704,156.015 
M170x3,6g,0.048,169.952,169.577,168.003,167.779,0.224,166.704,165.931 
M170x3,6h,0.000,170.000,169.625,168.051,167.827,0.224,166.752,165.979 
M170x3,4g6g,0.048,169.952,169.577,168.003,167.863,0.140,166.704,166.015 
M180x3,6g,0.048,179.952,179.577,178.003,177.779,0.224,176.704,175.931 
M180x3,6h,0.000,180.000,179.625,178.051,177.827,0.224,176.752,175.979 
M180x3,4g6g,0.048,179.952,179.577,178.003,177.863,0.140,176.704,176.015 
M190x3,6g,0.048,189.952,189.577,188.003,187.753,0.250,186.704,185.905 
M190x3,6h,0.000,190.000,189.625,188.051,187.801,0.250,186.752,185.953 
M190x3,4g6g,0.048,189.952,189.577,188.003,187.843,0.160,186.704,185.995 
M200x3,6g,0.048,199.952,199.577,198.003,197.753,0.250,196.704,195.905 
M200x3,6h,0.000,200.000,199.625,198.051,197.801,0.250,196.752,195.953 
M200x3,4g6g,0.048,199.952,199.577,198.003,197.843,0.160,196.704,195.995
